Liturgy,Book,Name,Reading,Color Map,Lectionary #,Year,Note
Lectionary,Genesis,Easter Vigil (1st Reading),"Gen 1:1—2:2 or 1:1, 26-31a",Sunday Reading,41,ABC,First Story of Creation
Lectionary,Genesis,1st Sunday of Lent,Gen 2:7-9; 3:1-7,Sunday Reading,22,A,Second Story of Creation
Lectionary,Genesis,27th Sunday in Ordinary Time,Gen 2:18-24,Sunday Reading,140,B,Creation of Woman as a Partner for Man
Lectionary,Genesis,10th Sunday in Ordinary Time,Gen 3:9-15,Sunday Reading,89,B,"Fall of Adam and Eve, and the Curse of the Serpent"
Lectionary,Genesis,Dec 8: Immaculate Conception of the BVMary,"Gen 3:9-15, 20",Solemnities & Feasts,689,,"Fall of Adam and Eve, and the Curse of the Serpent"
Lectionary,Genesis,1st Sunday of Lent,Gen 9:8-15,Sunday Reading,23,B,God’s Covenant with Noah
Lectionary,Genesis,Pentecost Sunday: Vigil Mass (Option 1),Gen 11:1-9,Sunday Reading,62,ABC,Tower of Babel
Lectionary,Genesis,2nd Sunday of Lent,Gen 12:1-4a,Sunday Reading,25,A,Call of Abram
Lectionary,Genesis,Sunday after Trinity Sun: Body & Blood of Christ,Gen 14:18-20,Sunday Reading,169,C,"Melchizedek Offers Bread and Wine, and Blesses Abram"
Lectionary,Genesis,Sunday in Octave of Christmas: Holy Family (Opt. B),Gen 15:1-6; 21:1-3,Sunday Reading,17,B,God’s Covenant with Abraham; Birth of Isaac
Lectionary,Genesis,2nd Sunday of Lent,"Gen 15:5-12, 17-18",Sunday Reading,27,C,God’s Covenant with Abram
Lectionary,Genesis,16th Sunday in Ordinary Time,Gen 18:1-10a,Sunday Reading,108,C,Abraham’s Three Visitors at Mamre
Lectionary,Genesis,17th Sunday in Ordinary Time,Gen 18:20-32,Sunday Reading,111,C,Abraham Intercedes for Sodom
Lectionary,Genesis,2nd Sunday of Lent,"Gen 22:1-2, 9a, 10-13, 15-18",Sunday Reading,26,B,Testing of Abraham (Sacrifice of Isaac)
Lectionary,Genesis,Easter Vigil (2nd Reading),"Gen 22:1-18 or 22:1-2, 9a, 10-13, 15-18",Sunday Reading,41,ABC,Testing of Abraham
Lectionary,Exodus,3rd Sunday of Lent,"Exod 3:1-8a, 13-15",Sunday Reading,30,C,Burning Bush and the Call of Moses
Lectionary,Exodus,Holy Thursday: Mass of the Lord’s Supper,"Exod 12:1-8, 11-14",Sunday Reading,39,ABC,Prescriptions for the Passover Ritual
Lectionary,Exodus,Easter Vigil (3rd Reading),Exod 14:15—15:1,Sunday Reading,41,ABC,Exodus
Lectionary,Exodus,Easter Vigil (3rd Response - note 4),"Exod 15:1-2, 3-4, 5-6, 17-18",Sunday Reading,41,ABC,Israelites' Song of Victory over Pharaoh's Army
Lectionary,Exodus,18th Sunday in Ordinary Time,"Exod 16:2-4, 12-15",Sunday Reading,113,B,Manna and Quail in the Desert
