Scripture Reference,Liturgical Usage
Isa 6:1-13,"Office of Readings, Year I: Advent, Week 1, Sunday"
Isa 7:1-17,"Office of Readings, Year I: Advent, Week 1, Monday"
Isa 8:1-18,"Office of Readings, Year I: Advent, Week 1, Tuesday"
Isa 8:23b-9:6,"Office of Readings, Year I: Advent, Week 1, Wednesday"
Isa 10:5-21,"Office of Readings, Year I: Advent, Week 1, Thursday"
Isa 11:10-16,"Office of Readings, Year I: Advent, Week 1, Friday"
Isa 13:1-22a,"Office of Readings, Year I: Advent, Week 1, Saturday"
Isa 14:1-21,"Office of Readings, Year I: Advent, Week 2, Sunday"
Isa 34:1-17,"Office of Readings, Year I: Advent, Week 2, Monday"
Isa 35:1-10,"Office of Readings, Year I: Advent, Week 2, Tuesday"
Ru 1:1-22,"Office of Readings, Year I: Advent, Week 2, Wednesday"
Ru 2:1-13,"Office of Readings, Year I: Advent, Week 2, Thursday"
Ru 2:14-23,"Office of Readings, Year I: Advent, Week 2, Friday"
Ru 3:1-18,"Office of Readings, Year I: Advent, Week 2, Saturday"
Ru 4:1-22,"Office of Readings, Year I: Advent, Week 3, Sunday"
1 Chr 17:1-15,"Office of Readings, Year I: Advent, Week 3, Monday"
Mic 4:1-14,"Office of Readings, Year I: Advent, Week 3, Tuesday"
Mic 4:14-5:7,"Office of Readings, Year I: Advent, Week 3, Wednesday"
Mic 7:7-13,"Office of Readings, Year I: Advent, Week 3, Thursday"
Mic 7:14-20,"Office of Readings, Year I: Advent, Week 3, Friday"
Isa 40:1-11,"Office of Readings, Year I: Advent, Dec. 17"
"Isa 40:12-18, 21-31","Office of Readings, Year I: Advent, Dec. 18"
Isa 41:8-20,"Office of Readings, Year I: Advent, Dec. 19"
Isa 41:21-29,"Office of Readings, Year I: Advent, Dec. 20"
Isa 42:10-25,"Office of Readings, Year I: Advent, Dec. 21"
Isa 43:1-13,"Office of Readings, Year I: Advent, Dec. 22"
"Isa 43:14a, 18-28","Office of Readings, Year I: Advent, Dec. 23"
"Isa 44:1-8, 21-23","Office of Readings, Year I: Advent, Dec. 24"
Isa 1:1-18,"Office of Readings, Year II: Advent, Week 1, Sunday"
"Isa 1:21-27, 2:1-5","Office of Readings, Year II: Advent, Week 1, Monday"
"Isa 2:6-21, 4:2-6","Office of Readings, Year II: Advent, Week 1, Tuesday"
Isa 5:1-7,"Office of Readings, Year II: Advent, Week 1, Wednesday"
"Isa 16:1-5, 17:4-8","Office of Readings, Year II: Advent, Week 1, Thursday"
Isa 19:16-25,"Office of Readings, Year II: Advent, Week 1, Friday"
Isa 21:6-12,"Office of Readings, Year II: Advent, Week 1, Saturday"
Isa 22:8-23,"Office of Readings, Year II: Advent, Week 2, Sunday"
Isa 24:1-18,"Office of Readings, Year II: Advent, Week 2, Monday"
Isa 24:19-25:5,"Office of Readings, Year II: Advent, Week 2, Tuesday"
Isa 25:6-26:6,"Office of Readings, Year II: Advent, Week 2, Wednesday"
Isa 26:7-21,"Office of Readings, Year II: Advent, Week 2, Thursday"
Isa 27:1-13,"Office of Readings, Year II: Advent, Week 2, Friday"
Isa 29:1-8,"Office of Readings, Year II: Advent, Week 2, Saturday"
