Roman Missal,Scripture Reference
1,Matt. 28:19
1,1 Chr 16:36
2,2 Cor 13:13
4,Jas. 5:16
4,Rom. 12:16
4,Jas 3:6
4,1 Thess 5:25
4,1 John 1:9
4,1 Chr 16:36
6,Tob 8:4
6,1 Tim 1:2
8,Luke 2:14
8,Rev 19:6
8,Rev. 22:9
8,Eph. 5:20
8,Rev 7:12
8,2 John 1:3
8,John 1:29
8,Rom 8:34
8,Luke 4:34
8,Luke 1:32
8,John 14:26
17,2 Tim 4:1-2
18,Gen 14:19
18,Col 1:16
18,Luke 1:35
18,Heb 1:3
18,John 1:2-3
18,John 3:13
18,Matt 1:18
18,John 19:16
18,1 Cor 15:3-4
18,Luke 24:51
18,Col 3:1
18,2 Tim 4:1
18,Luke 1:33
18,Acts 2:17
18,John 14:16
18,1 Peter 1:10-11
18,Rom 12:5
18,Acts 2:38
18,Rom 6:5
22,Malachi 3:10
23,Eccl. 3:13
23,John 6:35
23,Ps 68:36
24,Luke 22:17-18
24,Ps 68:36
29,Heb. 12:28
29,Ps 50:23
31,Lam 3:41
31,Col 3:17
31,Col 1:3
31,Isa 6:3
31,Mark 11:9-10
100,2 Macc. 14:36
124,Matt 6:9-13
125,John 17:15
126,John 14:27
127,John 20:19
130,John 1:29
132,Rev. 19:9
132,Matt 8:8
143,Dan 2:20
144,Luke 7:50
